id,f_name,l_name,mi,email_add,bs_program,sy
2014100001,Rosemarie,Alejandro,B,rbalejandro@student.apc.edu.ph,BSCPE,2018-2019
2014100002,Hamill,Marinda,C,hcmarinda@student.apc.edu.ph,BSCPE,2018-2019
2014100004,Glenn,Arbis,E,gearbis@student.apc.edu.ph,BSCPE,2018-2019
2014100005,Kenneth,Lagunay,F,kflagunay@student.apc.edu.ph,BSCPE,2018-2019
2014100006,Christian,Almasa,G,cgalmasa@student.apc.edu.ph,BSCPE,2018-2019
2014100007,Antonio,Dela Cruz,H,ahdelacruz@student.apc.edu.ph,BSCPE,2018-2019
2014100008,Joanna,Rada,I,jirada@student.apc.edu.ph,BSCPE,2018-2019
2014100009,Rina,Woltz,J,woltz@student.apc.edu.ph,BSCPE,2018-2019
2014100010,Paris,Escobedo,K,pkescobedo@student.apc.edu.ph,BSCPE,2018-2019
2014100011,Debbie ,Dove,L,dldove@student.apc.edu.ph,BSCPE,2018-2019
2014100012,Robbie ,Cleaver,M,rmcleaver@student.apc.edu.ph,BSCPE,2018-2019
2014100013,Tonie ,Larios,N,tnlarios@student.apc.edu.ph,BSCPE,2018-2019
2014100014,Julieta ,Vaught,O,jovaught@student.apc.edu.ph,BSCPE,2018-2019
2014100015,Refugio ,Luebbert,P,rpleubbert@student.apc.edu.ph,BSCPE,2018-2019
2014100016,Britteny ,Noecker,Q,bqnoecker@student.apc.edu.ph,BSCPE,2018-2019
2014100017,Libby ,Petz,R,lrpetz@student.apc.edu.ph,BSECE,2018-2019
2014100018,Monty ,Strouth,S,msstrouth@student.apc.edu.ph,BSECE,2018-2019
2014100019,Ezequiel ,Stoneking,T,etstoneking@student.apc.edu.ph,BSECE,2018-2019
2014100020,Vasiliki ,Cerna,U,vucerna@student.apc.edu.ph,BSECE,2018-2019
2014100021,Kisha ,Glasscock,V,kvglasscock@student.apc.edu.ph,BSECE,2018-2019
2014100022,Young ,Craner,W,ywcraner@student.apc.edu.ph,BSECE,2018-2019
2014100023,Bernardo ,Weisenberger,X,bxweisenberger@student.apc.edu.ph,BSECE,2018-2019
2014100024,Marisa ,Warthen,Y,mywarthen@student.apc.edu.ph,BSECE,2018-2019
2014100025,Gala ,Jin,Z,gzjin@student.apc.edu.ph,BSECE,2018-2019
2014100026,Lenita ,Machin,A,llamachin@student.apc.edu.ph,BSECE,2018-2019
2014100027,Beula ,Ratzlaff,B,bbratzlaff@student.apc.edu.ph,BSECE,2018-2019
2014100028,Min ,Frisby,C,mcfrisby@student.apc.edu.ph,BSECE,2018-2019
